SONG,ARTIST
LOVIN ON ME,JACK HARLOW
WATER,TYLA
NEVER LOSE ME,FLO MILLI
REDRUM,21 SAVAGE
RICH BABY DADDY,DRAKE FT SEXYY RED & SZA
SPRINTER,DAVE & CENTRAL CEE
PAINT THE TOWN RED,DOJA CAT
TOXIC,SONGER
ANGEL NUMBERS/TEN TOES,CHRIS BROWN
RUNAWAY,KANYE WEST FT PUSHA T
HISS,MEGAN THEE STALLION
SNOOZE,SZA
CALM DOWN,REMA
SAVE YOUR TEARS,WEEKND
ONE DANCE,DRAKE FT WIZKID & KYLA
EAGLE,D-BLOCK EUROPE & NOIZY
GREY,YUNG FILLY
BLINDING LIGHTS,WEEKND
GAS ME UP (DILIGENT),SKEPTA
DIE FOR YOU,WEEKND
OVERSEAS,D-BLOCK EUROPE FT CENTRAL CEE
PINK + WHITE,FRANK OCEAN
LOSE YOURSELF,EMINEM
WITHOUT ME,EMINEM
SURROUND SOUND,JID FT 21 SAVAGE & BABY TATE
REFATHER STRETCH MY HANDS PT 1,KANYE WEST
LOVE THE WAY YOU LIE,EMINEM FT RIHANNA
KILL BILL,SZA
AGORA HILLS,DOJA CAT
THE REAL SLIM SHADY,EMINEM
NO ROLE MODELZ,J COLE
PRACTICE,DRAKE
NewBANDIT,DON TOLIVER
REMY EYES,TRAVIS SCOTT
HEARTLESS,KANYE WEST
RESUNFLOWER,POST MALONE FT SWAE LEE
INCREDIBLE SAUCE,GIGGS FT DAVE
FUKUMEAN,GUNNA
RESURE THING,MIGUEL
REFLASHING LIGHTS,KANYE WEST FT DWELE
